Sex,Age,Race,Prior,two_year_recid
Male,24,Caucasian,0.0,1.0
Male,22,Caucasian,1.0,0.0
Male,49,Caucasian,0.0,1.0
Male,29,Caucasian,12.0,1.0
Female,28,African-American,3.5295049504950495,1.0
Female,45,Other,0.0,1.0
Male,53,African-American,3.5295049504950495,1.0
Male,22,African-American,1.0,0.0
Female,40,Caucasian,1.0,1.0
Male,31,African-American,3.5295049504950495,1.0
Female,31,African-American,3.0,0.0
Female,41,Hispanic,0.0,1.0
Male,27,African-American,3.5295049504950495,1.0
Male,44,Caucasian,3.5295049504950495,1.0
Male,24,African-American,1.0,1.0
Male,34,African-American,3.5295049504950495,1.0
Male,31,African-American,9.0,1.0
Female,23,Caucasian,1.0,1.0
Male,36,African-American,3.5295049504950495,1.0
Female,29,Caucasian,20.0,0.0
Female,51,Caucasian,3.5295049504950495,0.0
Male,47,Caucasian,3.5295049504950495,1.0
Male,26,Caucasian,0.0,1.0
Male,36,African-American,3.5295049504950495,0.0
Male,36,Hispanic,3.5295049504950495,1.0
Male,21,African-American,3.5295049504950495,1.0
Female,64,Caucasian,0.0,1.0
Male,22,Hispanic,3.5295049504950495,1.0
Male,30,Other,3.5295049504950495,1.0
Male,45,Caucasian,0.0,1.0
Female,24,Caucasian,1.0,0.0
Male,53,Caucasian,3.5295049504950495,1.0
Female,22,African-American,3.0,1.0
Male,27,African-American,1.0,1.0
Female,25,African-American,3.5295049504950495,1.0
Male,54,African-American,3.5295049504950495,1.0
Female,44,Caucasian,10.0,1.0
Male,33,African-American,3.5295049504950495,0.0
Female,33,African-American,2.0,0.0
Male,32,African-American,3.5295049504950495,1.0
Male,63,Caucasian,1.0,1.0
Male,30,African-American,19.0,0.0
Female,24,Hispanic,0.0,1.0
Male,22,Caucasian,1.0,1.0
Male,42,Caucasian,3.5295049504950495,1.0
Male,20,Other,3.5295049504950495,0.0
Male,46,African-American,3.0,0.0
Male,26,Caucasian,0.0,0.0
Male,27,African-American,3.5295049504950495,1.0
Female,35,Caucasian,3.5295049504950495,1.0
Female,31,Caucasian,14.0,1.0
Male,26,Caucasian,7.0,1.0
Male,32,Caucasian,3.5295049504950495,1.0
Male,25,Hispanic,0.0,1.0
Male,21,African-American,3.5295049504950495,0.0
Female,46,Hispanic,3.5295049504950495,1.0
Male,42,African-American,0.0,1.0
Female,28,Caucasian,3.5295049504950495,1.0
Female,38,Caucasian,3.5295049504950495,1.0
Male,30,African-American,0.0,1.0
Male,23,African-American,3.0,1.0
Male,37,African-American,3.5295049504950495,1.0
Female,23,African-American,0.0,0.0
Male,40,African-American,3.5295049504950495,1.0
Male,31,African-American,3.5295049504950495,0.0
Male,38,Other,3.5295049504950495,1.0
Male,52,African-American,3.5295049504950495,0.0
