Sex,Age,Race,Prior,two_year_recid
Male,24,Caucasian,0.0,1
Male,22,Caucasian,11.881468455359085,0
Male,49,Caucasian,0.0,1
Male,29000,Caucasian,17.01535192416118,0
Female,28000,African-American,4.0,1
Female,45000,Other,0.0,1
Male,53000,African-American,20.67398023799931,1
Male,22,African-American,-32.566899578059896,0
Female,40,Caucasian,1.0,1
Male,31,African-American,25.65058980806011,0
Female,31,African-American,2.579039154065203,0
Female,41,Hispanic,-4.398057263518895,1
Male,27,African-American,0.30558988170299184,1
Male,44,Caucasian,10.910450892831857,1
Male,24000,African-American,1.0,1
Male,34,African-American,8.0,1
Male,31,African-American,20.921633502257933,0
Female,23,Caucasian,11.983086814851736,1
Male,36000,African-American,-11.09335923936983,1
Female,29,Caucasian,25.022779393624468,0
Female,51,Caucasian,-25.697547240444838,0
Male,47,Caucasian,2.0,1
Male,26,Caucasian,-5.594863934253615,1
Male,36000,African-American,19.0,0
Male,36,Hispanic,-6.398771331023128,1
Male,21000,African-American,8.801830463616582,1
Female,64,Caucasian,-12.958929230639207,1
Male,22,Hispanic,11.49045492735641,1
Male,30000,Other,0.0,1
Male,45,Caucasian,4.186092729279148,1
Female,24000,Caucasian,1.0,0
Male,53,Caucasian,0.6382099084691433,0
Female,22000,African-American,3.0,1
Male,27,African-American,1.0,1
Female,25000,African-American,1.0,1
Male,54000,African-American,3.0,1
Female,44000,Caucasian,10.0,0
Male,33000,African-American,9.957751005768786,0
Female,33,African-American,-1.9259539303116262,0
Male,32,African-American,-2.842769357098896,1
Male,63000,Caucasian,13.287805311107176,1
Male,30000,African-American,7.172461530527082,0
Female,24000,Hispanic,2.815973087541812,1
Male,22000,Caucasian,9.873577353622853,1
Male,42000,Caucasian,1.0424144921590233,0
Male,20000,Other,3.0,0
Male,46,African-American,9.809772744978051,0
Male,26,Caucasian,-7.807612952878104,0
Male,27000,African-American,8.0,1
Female,35,Caucasian,-8.034372161318265,1
Female,31000,Caucasian,22.53195780816427,1
Male,26000,Caucasian,7.0,1
Male,32000,Caucasian,-1.6656999968080344,1
Male,25,Hispanic,-15.333735714200708,1
Male,21,African-American,-1.517592244468383,0
Female,46000,Hispanic,2.0,1
Male,42,African-American,0.0,1
Female,28000,Caucasian,6.985209500555159,1
Female,38,Caucasian,0.0,1
Male,30,African-American,0.0,1
Male,23,African-American,3.0,0
Male,37000,African-American,12.0,1
Female,23,African-American,0.0,0
Male,40,African-American,13.0,1
Male,31000,African-American,9.0,0
Male,38,Other,7.284377397485167,1
Male,52000,African-American,7.0,0
Male,51000,Caucasian,1.0,1
Male,30000,African-American,14.0,0
Male,32,Caucasian,-17.337502407327325,1
Male,24000,Caucasian,3.0,0
Male,29,African-American,9.0,0
Male,30,Other,-6.459178551767108,1
Male,25000,Hispanic,3.0,0
Male,39000,African-American,1.0,1
Female,57,Caucasian,22.865886767888725,1
Female,34,African-American,5.0,0
Male,38,African-American,5.517221850438975,1
Male,36,African-American,2.0,0
Female,43,African-American,2.0,1
Male,53000,Caucasian,1.0,1
Male,29,African-American,3.7509995719730975,0
Female,22000,African-American,23.411556258944188,1
Male,46,African-American,5.0,0
Male,20,Caucasian,7.11813828307478,0
Male,53000,African-American,2.0,1
Male,34,African-American,5.707895913912467,1
Male,27000,African-American,1.0,1
Male,32,Hispanic,1.0,0
Male,54000,Hispanic,-4.1872638736395125,0
Male,29000,Caucasian,0.0,1
Male,42000,African-American,20.182449074861825,1
Male,55000,Caucasian,8.121630759133211,0
Male,22,African-American,-11.08453530996588,1
Male,32,African-American,0.0,0
Male,30000,African-American,16.82799647540524,0
Male,21,African-American,6.273510439221615,1
Male,22000,African-American,12.5045547590151,0
Male,21,Hispanic,0.0,1
Male,57000,African-American,6.400859296219647,0
Male,54,Other,42.79573684501489,1
Male,44000,Caucasian,-24.079352668503862,1
Male,30000,African-American,17.64175194804486,1
Male,31000,Caucasian,21.95882555921977,1
Male,39000,African-American,3.0,1
Female,20,African-American,-11.101254900348401,0
