Month,Credit_amount,Investment,Age,Sex,Status,Credit_history,Savings,Property,Housing,credit
6,1238,4,Old,Male,A14,A32,A65,A122,A152,1
12,3124,1,Old,Male,A12,A34,A61,A121,A152,1
21,2782,1,Old,Female,A14,A32,A63,A123,A152,1
24,6314,4,Old,Male,A14,A34,A61,A124,A152,1
12,618,4,Old,Male,A14,A34,A61,A121,A152,1
24,2679,4,Old,Female,A14,A32,A61,A124,A152,1
18,1190,2,Old,Female,A11,A34,A61,A124,A153,0
12,2759,2,Old,Male,A14,A30,A61,A122,A152,1
48,6416,4,Old,Female,A12,A31,A61,A124,A151,0
24,1358,4,Old,Male,A11,A31,A65,A123,A152,0
7,2576,2,Old,Male,A12,A32,A61,A121,A152,1
36,7127,2,Young,Female,A14,A34,A61,A122,A151,0
18,4297,4,Old,Male,A12,A33,A61,A124,A152,0
24,999,4,Young,Male,A14,A32,A65,A123,A152,1
36,8086,2,Old,Male,A12,A33,A62,A123,A152,0
18,1098,4,Old,Female,A14,A34,A61,A123,A152,1
18,4153,2,Old,Male,A11,A32,A61,A123,A152,0
15,1308,4,Old,Male,A12,A32,A61,A123,A152,1
15,1478,4,Old,Male,A11,A34,A61,A123,A152,1
10,1240,1,Old,Female,A13,A32,A62,A124,A153,0
60,6836,3,Old,Male,A11,A33,A61,A124,A152,0
15,3368,3,Young,Male,A14,A34,A64,A124,A151,1
6,4611,1,Old,Female,A14,A32,A61,A122,A152,0
6,1374,4,Old,Female,A11,A32,A65,A122,A152,1
12,1804,3,Old,Male,A12,A34,A62,A122,A152,1
24,1546,4,Young,Male,A11,A31,A61,A123,A151,0
12,2171,2,Old,Female,A14,A32,A61,A123,A152,1
12,902,4,Young,Male,A11,A32,A61,A122,A151,0
12,2012,4,Old,Female,A14,A34,A65,A123,A152,1
11,2142,1,Old,Male,A14,A32,A64,A121,A152,1
24,4139,3,Old,Male,A14,A34,A62,A122,A152,1
24,3149,4,Young,Male,A11,A32,A61,A124,A153,1
36,6229,4,Young,Female,A11,A34,A61,A124,A151,0
30,3622,4,Old,Female,A11,A32,A64,A122,A151,1
24,1258,3,Old,Female,A13,A32,A63,A123,A152,1
24,1201,4,Old,Male,A12,A32,A61,A122,A152,1
12,926,1,Old,Female,A14,A34,A61,A122,A152,1
30,6187,1,Young,Male,A11,A34,A62,A123,A151,1
24,3430,3,Old,Male,A14,A32,A63,A123,A152,1
24,1553,3,Young,Female,A12,A33,A62,A122,A151,1
42,3965,4,Old,Male,A11,A32,A61,A123,A152,0
12,707,4,Old,Male,A14,A32,A61,A121,A152,1
18,3590,3,Old,Male,A12,A34,A61,A123,A152,1
24,4679,3,Old,Male,A14,A33,A61,A123,A152,1
24,3863,1,Old,Male,A14,A33,A61,A124,A153,1
21,2923,1,Old,Female,A13,A32,A62,A123,A152,1
21,3414,2,Old,Male,A11,A33,A61,A122,A152,0
12,2366,3,Old,Male,A12,A34,A63,A123,A152,1
15,2360,2,Old,Male,A13,A34,A63,A123,A152,1
9,2136,3,Young,Male,A11,A32,A61,A121,A152,1
60,7418,1,Old,Male,A12,A33,A65,A121,A152,1
12,1163,4,Old,Male,A14,A34,A63,A121,A152,1
