age,workclass,edu_level,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,income
25,Private,7,Never-married,Machine-op-inspct,Own-child,Black,Male,40,United-States,-1
38,Private,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,-1
28,Local-gov,12,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,1
44,Private,10,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,United-States,1
34,Private,6,Never-married,Other-service,Not-in-family,White,Male,30,United-States,-1
63,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,32,United-States,1
24,Private,10,Never-married,Other-service,Unmarried,White,Female,40,United-States,-1
55,Private,4,Married-civ-spouse,Craft-repair,Husband,White,Male,10,United-States,-1
65,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,1
36,Federal-gov,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,-1
26,Private,9,Never-married,Adm-clerical,Not-in-family,White,Female,39,United-States,-1
48,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,48,United-States,1
43,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1
20,State-gov,10,Never-married,Other-service,Own-child,White,Male,25,United-States,-1
43,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,30,United-States,-1
37,Private,9,Widowed,Machine-op-inspct,Unmarried,White,Female,20,United-States,-1
34,Private,13,Married-civ-spouse,Tech-support,Husband,White,Male,47,United-States,1
34,Private,10,Never-married,Other-service,Own-child,Black,Female,35,United-States,-1
25,Private,13,Never-married,Prof-specialty,Not-in-family,White,Male,43,Peru,-1
25,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,-1
45,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,90,United-States,1
22,Private,9,Never-married,Adm-clerical,Own-child,White,Male,20,United-States,-1
23,Private,9,Separated,Machine-op-inspct,Unmarried,Black,Male,54,United-States,-1
54,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,35,United-States,-1
32,Self-emp-not-inc,10,Never-married,Prof-specialty,Not-in-family,White,Male,60,United-States,-1
46,State-gov,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,38,United-States,1
56,Self-emp-not-inc,7,Widowed,Other-service,Unmarried,White,Female,50,United-States,-1
24,Self-emp-not-inc,13,Never-married,Sales,Not-in-family,White,Male,50,United-States,-1
23,Local-gov,10,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,-1
26,Private,9,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,-1
36,Local-gov,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,1
22,Private,3,Never-married,Priv-house-serv,Not-in-family,White,Male,50,Guatemala,-1
17,Private,6,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,-1
20,Private,9,Never-married,Craft-repair,Own-child,White,Male,40,United-States,-1
65,Private,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,1
44,Self-emp-inc,11,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,1
36,Private,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,-1
29,Private,7,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,-1
20,State-gov,10,Never-married,Farming-fishing,Own-child,White,Male,32,United-States,-1
28,Private,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,36,United-States,1
39,Private,4,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Mexico,-1
54,Private,10,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,-1
52,Private,7,Separated,Priv-house-serv,Not-in-family,Black,Female,18,United-States,-1
56,Self-emp-inc,9,Widowed,Exec-managerial,Not-in-family,White,Female,50,United-States,-1
18,Private,10,Never-married,Other-service,Own-child,White,Male,20,United-States,-1
39,Private,9,Divorced,Handlers-cleaners,Own-child,Black,Male,40,United-States,-1
21,Private,10,Never-married,Other-service,Own-child,White,Female,24,United-States,-1
22,Private,9,Never-married,Other-service,Not-in-family,White,Male,60,United-States,1
