age,workclass,edu_level,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,income
25_to_45,Private,6_to_12,Never-married,Machine-op-inspct,Own-child,Black,Male,40,United-States,0
25_to_45,Private,6_to_12,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,0
25_to_45,Local-gov,6_to_12,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,1
25_to_45,Private,6_to_12,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,United-States,1
25_to_45,Private,6_to_12,Never-married,Other-service,Not-in-family,White,Male,30,United-States,0
greater_than_45,Self-emp-not-inc,greater_than_12,Married-civ-spouse,Prof-specialty,Husband,White,Male,32,United-States,1
less_than_25,Private,6_to_12,Never-married,Other-service,Unmarried,White,Female,40,United-States,0
greater_than_45,Private,less_than_6,Married-civ-spouse,Craft-repair,Husband,White,Male,10,United-States,0
greater_than_45,Private,6_to_12,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,1
25_to_45,Federal-gov,greater_than_12,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,0
25_to_45,Private,6_to_12,Never-married,Adm-clerical,Not-in-family,White,Female,39,United-States,0
greater_than_45,Private,6_to_12,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,48,United-States,1
25_to_45,Private,greater_than_12,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1
less_than_25,State-gov,6_to_12,Never-married,Other-service,Own-child,White,Male,25,United-States,0
25_to_45,Private,6_to_12,Married-civ-spouse,Adm-clerical,Wife,White,Female,30,United-States,0
25_to_45,Private,6_to_12,Widowed,Machine-op-inspct,Unmarried,White,Female,20,United-States,0
25_to_45,Private,greater_than_12,Married-civ-spouse,Tech-support,Husband,White,Male,47,United-States,1
25_to_45,Private,6_to_12,Never-married,Other-service,Own-child,Black,Female,35,United-States,0
25_to_45,Private,greater_than_12,Never-married,Prof-specialty,Not-in-family,White,Male,43,Non-US,0
25_to_45,Private,greater_than_12,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,0
25_to_45,Self-emp-not-inc,6_to_12,Married-civ-spouse,Craft-repair,Husband,White,Male,90,United-States,1
less_than_25,Private,6_to_12,Never-married,Adm-clerical,Own-child,White,Male,20,United-States,0
less_than_25,Private,6_to_12,Separated,Machine-op-inspct,Unmarried,Black,Male,54,United-States,0
greater_than_45,Private,6_to_12,Married-civ-spouse,Craft-repair,Husband,White,Male,35,United-States,0
25_to_45,Self-emp-not-inc,6_to_12,Never-married,Prof-specialty,Not-in-family,White,Male,60,United-States,0
greater_than_45,State-gov,6_to_12,Married-civ-spouse,Exec-managerial,Husband,Black,Male,38,United-States,1
greater_than_45,Self-emp-not-inc,6_to_12,Widowed,Other-service,Unmarried,White,Female,50,United-States,0
less_than_25,Self-emp-not-inc,greater_than_12,Never-married,Sales,Not-in-family,White,Male,50,United-States,0
less_than_25,Local-gov,6_to_12,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,0
25_to_45,Private,6_to_12,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,0
