Sex,Age,Race,Prior,two_year_recid
Female,5300,Caucasian,6.0,0
Male,34,Hispanic,7.401237419605551,0
Male,21,African-American,1.0,0
Male,4000,Hispanic,3.190360642467643,1
Female,2300,Caucasian,0.0,1
Male,3500,Asian,0.0,1
Male,25,African-American,0.0,1
Male,64,African-American,49.0933883443504,1
Male,29,Caucasian,18.01079938829576,0
Female,55,African-American,2.0,1
Male,33,Caucasian,10.0,1
Male,3100,Caucasian,0.0,1
Male,3800,African-American,4.0,1
Male,6100,Caucasian,-36.86293398898544,1
Female,5500,Caucasian,25.74911855186402,1
Male,60,African-American,-18.650979484831097,1
Male,3700,Caucasian,2.0,1
Male,56,Hispanic,2.0,1
Male,2600,Caucasian,3.0,1
Female,50,Caucasian,7.0,0
Male,38,African-American,33.20904036942091,0
Male,2900,Caucasian,2.0,0
Male,5200,Caucasian,16.0,0
Male,31,African-American,-2.475772453813331,0
Male,38,Other,2.0,0
Male,3900,Caucasian,26.124212485184902,1
Male,57,African-American,8.975584556104351,1
Male,3300,African-American,-54.87731265586972,0
Female,3300,African-American,19.46302726558562,1
Male,38,Caucasian,-18.56453376244287,0
Female,51,African-American,1.0,1
Male,3100,Hispanic,40.71458813802427,1
Male,22,African-American,20.860484304681638,0
Male,25,African-American,3.0,0
Male,2300,African-American,16.669963301398806,1
Male,35,Caucasian,3.0,1
Male,2900,Caucasian,5.209125589924664,1
Male,22,African-American,1.0,0
Male,4000,African-American,-33.666204689250364,1
Male,25,Caucasian,1.0,1
Female,2200,Caucasian,6.777838972253364,1
Male,32,Caucasian,3.0,1
Male,58,Caucasian,-7.685334035445747,0
Male,33,Caucasian,2.0,1
Male,2400,Caucasian,9.0,0
Male,3200,Other,-14.517100786694602,1
Female,2400,Caucasian,12.610993070533226,1
Male,50,Caucasian,-34.286694709168735,1
Male,49,African-American,-38.40379882131466,1
Male,24,African-American,49.658178100865925,0
Male,43,African-American,7.0,1
Female,20,Caucasian,0.0,0
Female,49,Caucasian,-15.93107677744268,1
Male,3000,Hispanic,1.0,1
Male,30,African-American,23.542437622382405,1
Female,2900,African-American,11.0,0
Male,2500,African-American,-1.5373124544156003,0
Male,2600,Hispanic,9.0,0
Male,3900,African-American,-0.6190674212336482,1
Male,39,African-American,10.0,1
Male,2300,African-American,1.0,0
Male,2800,African-American,2.0,1
Male,40,Caucasian,0.0,0
Male,2600,African-American,7.0,0
Male,52,Caucasian,27.46823026538716,1
Male,48,African-American,14.356534615433148,1
Male,3000,Caucasian,0.0,1
Male,3400,African-American,3.0,1
Male,25,African-American,1.0,1
Male,21,Caucasian,-2.7776030862764682,1
Male,6900,African-American,1.0,0
Male,29,African-American,8.0,0
Female,2700,African-American,-17.43948470484755,0
Male,29,African-American,10.702560816649218,0
Male,40,Other,1.0,1
Female,32,Hispanic,1.0,1
Male,36,African-American,10.407018248636373,1
Male,3100,African-American,8.0,0
Female,5800,Caucasian,0.0,1
Male,26,African-American,8.0,0
Female,5200,Caucasian,-51.385937483112926,1
Male,2400,African-American,1.0,0
Female,4400,Caucasian,3.0,0
Male,2900,Hispanic,1.0,1
Male,52,Hispanic,-31.394197439354663,1
Male,4300,Caucasian,1.0,1
Female,4600,Hispanic,57.167030462366725,1
Male,3500,African-American,-4.954688428723011,1
Male,2200,African-American,0.0,0
Male,45,Caucasian,2.0,1
Male,2100,African-American,-15.03055338941606,1
Male,2600,African-American,2.6456355596794023,1
Male,28,African-American,1.0,1
Female,24,African-American,2.0,1
Male,2300,African-American,1.0,0
Male,6300,African-American,-16.679539240037492,1
Male,31,African-American,23.486974635375844,0
Female,36,African-American,1.0,0
Male,2800,African-American,-10.865370402826047,0
Male,44,African-American,21.460626290881656,0
Male,2700,African-American,-6.730876720852055,0
Male,2600,African-American,-20.0443019791329,1
Male,2400,Caucasian,-55.33735366033099,1
Male,24,African-American,2.0,0
Female,38,Other,0.0,1
Male,30,African-American,44.36077123567732,0
Female,2500,Hispanic,8.108302931796812,1
Male,2700,African-American,19.871585316620802,1
Male,3900,Hispanic,0.0,0
Male,24,African-American,53.19863507029727,0
Male,52,Asian,7.101858765073723,1
Male,2200,Caucasian,0.0,1
Male,31,African-American,3.0,0
Male,37,African-American,56.38048635600162,1
Male,6700,Caucasian,1.421276908899401,1
Male,40,Caucasian,5.0,1
Female,6100,Caucasian,0.0,1
Male,4000,Hispanic,0.0,1
Male,2600,Caucasian,0.0,1
Female,3600,Caucasian,-20.611240072556235,1
Male,2600,Caucasian,0.0,1
Male,32,African-American,-21.737977592159424,1
Male,37,African-American,7.0,1
Female,2400,African-American,1.0,0
Male,43,Hispanic,-26.07000472544793,1
Male,67,Caucasian,9.219389810341552,1
Male,27,African-American,-16.77733233491107,0
Male,30,African-American,5.0,0
Male,27,Other,-11.829611295848848,1
Male,25,African-American,10.0,0
Male,3100,Caucasian,1.0,0
Male,29,Caucasian,1.0,1
Male,2300,Hispanic,2.0,1
Male,23,Caucasian,0.0,0
Female,5400,Caucasian,0.0,1
Male,26,African-American,4.0,1
Male,54,African-American,0.0,1
Male,33,Hispanic,3.0,1
Male,41,African-American,-9.753753731219996,1
Male,2500,African-American,14.0,0
Female,52,African-American,1.0,1
Male,4200,Caucasian,-0.7122392393526268,1
Female,46,Caucasian,15.04704169965753,1
Female,20,Caucasian,-57.52389035366621,0
Male,3200,African-American,17.85901626215979,0
Male,62,Caucasian,15.572967421183357,1
Male,22,African-American,24.796466816263415,1
Male,2200,African-American,-18.767461304781705,0
Male,28,Caucasian,-14.842986830052677,1
Male,57,Caucasian,6.0,1
Male,2300,African-American,2.0,0
Male,5200,Other,-39.89359343445097,1
Male,2600,African-American,6.0,0
Male,2600,Hispanic,0.0,1
Male,33,African-American,-0.944399149176739,1
Male,43,African-American,0.0,1
Male,2400,Caucasian,0.0,1
Male,27,African-American,0.0,1
Male,26,African-American,27.0,0
Female,22,Caucasian,3.5582683346066024,1
Male,40,African-American,7.0,1
Female,34,Hispanic,1.0,1
Male,28,Caucasian,-18.444279427402215,0
Male,57,Hispanic,6.999920926665437,1
Male,27,Caucasian,-17.1503580320625,1
Male,19,African-American,-1.0510302575109145,0
Male,2300,African-American,-9.823209397303598,0
Male,31,Caucasian,10.922718722244959,0
Male,39,Other,19.50870657153993,1
Male,2000,Other,0.0,0
Male,37,African-American,0.9162239331495088,1
Male,25,Caucasian,1.0,0
Male,3500,Hispanic,36.58589331474866,1
Male,29,Caucasian,4.0,0
Male,4600,Caucasian,19.519969818454697,1
Male,3900,Caucasian,5.0,1
Male,23,African-American,30.80548308620079,0
Male,3100,African-American,3.8640801353894423,0
Female,2400,Caucasian,0.0,1
Female,40,African-American,20.541591590169517,0
Male,3000,African-American,2.0,0
Female,5000,Caucasian,30.0,0
Male,48,Caucasian,5.3066391438982095,1
Male,2700,African-American,0.0,0
Male,32,African-American,3.0,1
Male,4100,Hispanic,2.0,1
Male,30,Other,-11.267383803425219,0
Male,22,African-American,2.2923515896042046,1
Female,3300,African-American,-19.854232227286225,0
Male,45,Caucasian,-24.727083548683098,0
Male,29,African-American,14.122398307891777,1
Female,2900,African-American,-11.875137535859428,1
Male,3200,African-American,0.0,1
Male,2500,African-American,10.098084421391164,0
Male,23,African-American,6.1243683485380505,1
Male,29,African-American,2.0,1
Male,2600,African-American,5.0,1
Female,28,Hispanic,30.466441863186873,1
Male,24,African-American,3.0,0
Female,2600,African-American,2.0,1
Male,27,African-American,-3.5032598101100945,1
Male,4600,African-American,8.0,0
Male,2300,Caucasian,27.08075428199333,1
Female,5200,African-American,-27.180639719257282,1
Male,34,Caucasian,0.0,1
Male,2500,African-American,2.0,0
Male,6500,Caucasian,2.0,1
Male,2600,Caucasian,25.168598388012747,1
Male,3000,African-American,1.0,1
Male,35,African-American,61.42751264935703,1
Male,22,African-American,-21.123425113446064,1
Male,42,African-American,17.0,0
Male,62,Caucasian,1.5627533400363467,1
Male,2300,African-American,22.66366809391982,1
Male,26,Hispanic,1.0,1
Female,64,Caucasian,0.22733737116729005,1
Female,2200,Caucasian,-27.452383602654663,0
Male,2200,Caucasian,33.10041880102351,0
Female,26,Caucasian,7.0,0
Male,54,Other,10.489272932396295,1
Male,46,African-American,40.02912900215535,0
Male,2900,African-American,22.60685586498959,0
Male,3500,African-American,16.90665549727235,0
Female,2100,African-American,0.0,0
Male,23,Hispanic,-25.127317610996958,0
Male,36,African-American,-0.8997639318417932,1
Male,57,African-American,28.0,0
Male,3700,African-American,54.954654154740254,1
Male,41,African-American,0.6278144869422384,1
Male,48,Caucasian,10.42536182520067,0
Male,4700,Caucasian,11.20213015885721,0
Male,56,Caucasian,2.0,1
Male,5600,Other,45.36516699795975,1
Male,35,Hispanic,1.8864540370719107,1
Female,33,African-American,1.0,1
Male,24,Hispanic,8.780980387250978,1
Male,20,Other,1.0,0
Male,24,Hispanic,-0.1748874560621596,0
Female,2600,African-American,3.0,0
Female,40,Caucasian,-35.5168041657982,1
Female,2300,African-American,-32.12950848208463,1
Male,2100,African-American,0.0,0
Male,2300,Hispanic,1.0,1
Male,2700,African-American,0.0,1
Male,23,African-American,-21.78854670359407,0
Male,5600,African-American,0.0,1
Male,4700,African-American,15.0,1
Male,2100,Caucasian,0.0,1
Male,2700,Hispanic,-6.990186515663769,1
Male,2200,African-American,21.829976604242496,0
Male,5500,Caucasian,0.0,0
Female,3100,Caucasian,1.488201207105763,1
Male,33,African-American,14.0,1
Male,2200,African-American,3.0,1
Male,55,African-American,12.0,1
Male,43,Caucasian,0.9859061373621296,1
Male,30,Caucasian,0.0,1
Male,22,Caucasian,-2.102518810389504,0
Male,3400,Caucasian,0.0,1
Male,32,Hispanic,0.0,1
Male,51,Hispanic,24.43488655398994,1
Male,2000,Caucasian,23.49714321158857,0
Male,24,Caucasian,0.0,1
Male,2900,African-American,-9.910885338124269,0
Male,25,African-American,4.0,0
Male,6400,Hispanic,-16.23015061492537,1
Male,4600,Caucasian,31.995730903232364,1
