Sex,Age,Race,Prior,two_year_recid
Male,69,Other,0,1
Male,34,African-American,0,-1
Male,24,African-American,4,-1
Male,23,African-American,1,1
Male,43,Other,2,1
Male,44,Other,0,1
Male,41,Other,14,-1
Male,43,Other,3,1
Female,39,Other,0,1
Male,21,Other,1,-1
Male,27,Other,0,1
Male,23,African-American,3,-1
Female,37,Other,0,1
Male,41,African-American,0,1
Female,47,Other,1,-1
Male,31,African-American,7,-1
Male,37,Other,0,1
Male,25,African-American,3,1
Male,31,Other,6,-1
Male,31,Other,5,-1
Male,64,African-American,13,-1
Male,21,African-American,1,-1
Male,27,Other,0,-1
Female,21,Other,0,1
Male,24,Other,1,-1
Male,43,Other,1,1
Male,32,Other,0,1
Male,27,African-American,8,-1
Female,36,Other,3,1
Male,26,African-American,5,-1
Male,33,African-American,0,-1
Male,30,Other,9,-1
Male,32,African-American,4,-1
Male,55,Other,0,1
Male,49,Other,7,-1
Male,26,Other,6,1
Female,33,Other,4,-1
Male,24,Other,1,-1
Male,34,African-American,21,-1
Male,29,Other,0,1
Female,21,African-American,2,1
Male,51,African-American,2,1
Male,29,Other,2,-1
Female,51,African-American,7,1
Male,29,African-American,0,-1
Male,25,Other,9,-1
Male,35,African-American,13,-1
Male,49,Other,0,1
Male,34,African-American,4,-1
Male,29,African-American,0,1
Male,29,Other,1,-1
Female,28,Other,0,1
Male,48,Other,20,-1
Female,63,Other,1,1
Male,31,African-American,15,1
Male,24,African-American,2,-1
Male,30,Other,0,1
Male,49,African-American,4,1
Male,53,Other,8,1
Male,35,African-American,5,1
Male,63,African-American,10,-1
Male,27,African-American,15,-1
Male,38,Other,4,-1
Male,22,African-American,1,-1
Male,22,African-American,2,-1
Male,29,African-American,4,-1
Male,62,Other,0,1
Male,27,African-American,6,-1
Male,33,Other,0,1
Female,56,African-American,0,1
Male,45,Other,6,-1
Male,22,Other,1,1
Male,39,African-American,1,1
Male,29,African-American,5,-1
Male,27,Other,1,-1
Male,40,African-American,2,1
Male,22,African-American,1,-1
Male,22,Other,0,1
Female,26,African-American,1,-1
Male,27,Other,1,-1
Male,32,African-American,0,1
Male,41,African-American,1,1
