Sex,Age,Race,Prior,two_year_recid
Male,25,Other,2.0,1
Male,8,African-American,19.224554455445546,1
Female,1,Caucasian,54.0,1
Male,0,African-American,19.224554455445546,0
Male,1,Caucasian,58.0,1
Male,4,Hispanic,19.224554455445546,0
Male,0,Caucasian,19.224554455445546,0
Female,40,Hispanic,19.224554455445546,0
Male,26,Caucasian,19.224554455445546,1
Male,5,Caucasian,19.224554455445546,1
Male,56,Caucasian,19.224554455445546,0
Male,0,Asian,29.0,1
Male,34,Caucasian,5.0,1
Male,6,Hispanic,19.224554455445546,0
Male,0,African-American,36.0,0
Male,31,African-American,1.0,1
Male,44,African-American,6.0,0
Male,23,Hispanic,19.224554455445546,1
Male,0,African-American,19.224554455445546,1
Male,22,African-American,4.0,1
Male,31,Other,19.224554455445546,1
Male,0,African-American,47.0,1
Male,56,Other,6.0,0
Male,2,Caucasian,45.0,1
Male,1,African-American,21.0,0
Male,39,Caucasian,19.224554455445546,1
Female,0,African-American,29.0,1
Male,22,Caucasian,0.0,0
Male,1,African-American,19.224554455445546,0
Male,17,African-American,19.224554455445546,0
Female,23,Caucasian,19.224554455445546,1
Male,0,African-American,22.0,1
Male,30,African-American,19.224554455445546,0
Female,24,Caucasian,19.224554455445546,1
Male,20,African-American,19.224554455445546,0
Male,5,Other,19.224554455445546,0
Male,28,African-American,4.0,1
Male,22,Other,3.0,1
Male,42,African-American,0.0,0
Male,21,African-American,0.0,1
Male,36,Caucasian,19.224554455445546,1
Male,45,Caucasian,19.224554455445546,1
Male,20,African-American,1.0,0
Male,0,Caucasian,39.0,1
Female,1,Caucasian,19.224554455445546,1
Male,15,African-American,50.0,1
Female,45,Native American,19.224554455445546,1
Male,1,Asian,19.224554455445546,1
Male,45,African-American,19.224554455445546,0
Male,24,African-American,0.0,1
Male,21,Caucasian,0.0,0
Male,0,African-American,19.224554455445546,0
Female,7,Caucasian,46.0,0
Male,58,Caucasian,2.0,0
Male,1,Caucasian,19.224554455445546,1
Male,38,Hispanic,19.224554455445546,1
Male,3,Caucasian,24.0,0
Female,1,African-American,19.224554455445546,1
Male,5,African-American,19.224554455445546,1
Male,22,African-American,19.224554455445546,1
Male,40,Caucasian,5.0,0
Female,0,Caucasian,65.0,1
Male,36,Caucasian,19.224554455445546,1
Male,47,African-American,19.224554455445546,1
Male,27,African-American,19.224554455445546,0
Male,11,African-American,54.0,1
Male,2,African-American,32.0,1
Male,24,African-American,8.0,0
Male,2,African-American,19.224554455445546,1
Male,57,Caucasian,19.224554455445546,0
Male,3,African-American,46.0,1
Male,22,Hispanic,0.0,0
Female,43,Caucasian,19.224554455445546,0
Female,0,Caucasian,34.0,0
Male,2,African-American,19.224554455445546,1
Male,0,African-American,31.0,1
Male,56,African-American,3.0,1
Male,3,African-American,19.224554455445546,0
Male,22,Hispanic,1.0,0
Male,41,African-American,19.224554455445546,1
Male,27,African-American,7.0,0
Male,1,African-American,30.0,0
Male,7,African-American,25.0,0
Male,3,African-American,32.0,0
Male,6,African-American,29.0,0
Male,2,African-American,26.0,0
Male,36,Caucasian,2.0,1
Male,0,African-American,21.0,0
Male,47,Caucasian,2.0,1
Male,32,Caucasian,0.0,0
Male,38,African-American,19.224554455445546,1
Male,1,Caucasian,19.224554455445546,1
Male,5,African-American,20.0,0
Female,50,Caucasian,19.224554455445546,0
Female,2,African-American,40.0,1
Male,33,African-American,19.224554455445546,0
Male,0,Caucasian,21.0,0
Female,20,African-American,19.224554455445546,1
Male,3,Other,25.0,0
Female,0,African-American,26.0,1
Male,12,African-American,51.0,0
Female,28,Caucasian,19.224554455445546,0
Male,29,Caucasian,8.0,0
Female,1,African-American,19.224554455445546,0
Male,33,Other,7.0,0
Male,75,Caucasian,19.224554455445546,1
Male,0,Caucasian,73.0,1
Female,4,Hispanic,19.224554455445546,0
Male,0,Caucasian,27.0,0
Female,1,Caucasian,19.224554455445546,1
Male,31,Caucasian,19.224554455445546,1
Female,28,African-American,5.0,1
Male,9,African-American,19.224554455445546,0
Male,5,Caucasian,30.0,0
Female,28,African-American,19.224554455445546,1
Male,27,African-American,4.0,1
Male,24,Caucasian,3.0,0
Male,23,African-American,33.0,0
Male,4,African-American,47.0,1
Female,21,Caucasian,19.224554455445546,0
Male,7,Caucasian,19.224554455445546,1
Female,25,Hispanic,19.224554455445546,1
Female,5,African-American,19.224554455445546,1
Male,2,Caucasian,41.0,1
Male,27,Caucasian,0.0,1
Male,3,Hispanic,19.224554455445546,0
Male,21,African-American,19.224554455445546,0
Male,4,Caucasian,19.224554455445546,1
Male,69,Other,0.0,1
Male,6,African-American,19.224554455445546,1
Female,1,Caucasian,21.0,1
Female,68,African-American,5.0,1
Female,50,Hispanic,19.224554455445546,0
Male,17,Caucasian,38.0,1
Male,65,Hispanic,2.0,0
Female,0,African-American,22.0,0
Male,54,African-American,19.224554455445546,1
Female,1,Caucasian,37.0,1
Male,22,African-American,19.224554455445546,0
Male,33,African-American,12.0,0
Male,27,Caucasian,19.224554455445546,1
Male,7,African-American,19.224554455445546,0
Male,0,African-American,19.224554455445546,1
Male,3,African-American,19.224554455445546,1
Female,32,Hispanic,0.0,0
Male,1,Caucasian,56.0,1
Male,49,Caucasian,19.224554455445546,1
Male,0,African-American,19.224554455445546,0
Male,1,Hispanic,40.0,1
Male,22,African-American,19.224554455445546,0
Female,3,Caucasian,36.0,1
Male,24,African-American,19.224554455445546,1
Female,29,Hispanic,19.224554455445546,1
Male,0,Asian,35.0,1
Female,0,Caucasian,46.0,0
Female,0,Caucasian,19.224554455445546,1
Female,22,African-American,19.224554455445546,1
Female,0,Caucasian,57.0,1
Female,0,Caucasian,19.224554455445546,0
Male,8,Other,29.0,0
Male,1,African-American,41.0,1
Male,51,African-American,19.224554455445546,0
Male,52,Caucasian,8.0,1
Male,6,African-American,49.0,0
Male,28,African-American,13.0,0
Male,17,African-American,29.0,0
Male,24,Hispanic,19.224554455445546,1
Female,24,African-American,2.0,1
Male,2,Caucasian,19.224554455445546,0
Male,35,African-American,2.0,1
Male,25,African-American,5.0,1
Male,3,African-American,19.224554455445546,0
Male,45,African-American,19.224554455445546,1
Male,23,Caucasian,19.224554455445546,0
Male,32,African-American,19.224554455445546,0
Male,0,Caucasian,19.224554455445546,0
Male,0,African-American,19.224554455445546,0
Female,21,Caucasian,19.224554455445546,1
Male,56,Caucasian,4.0,1
Female,2,Caucasian,46.0,1
Male,28,Caucasian,19.224554455445546,0
Male,25,African-American,19.224554455445546,1
Female,27,Hispanic,19.224554455445546,0
Male,37,African-American,19.224554455445546,0
Male,36,African-American,5.0,1
Male,1,Hispanic,19.224554455445546,0
Male,59,African-American,9.0,0
Male,51,African-American,19.224554455445546,0
Female,2,Caucasian,19.224554455445546,0
Male,3,Caucasian,51.0,0
Male,44,African-American,0.0,0
Female,1,Other,19.224554455445546,1
Male,1,Hispanic,24.0,0
Male,6,Caucasian,24.0,1
Male,2,Other,19.224554455445546,1
Male,22,African-American,19.224554455445546,0
Male,20,African-American,2.0,0
Male,3,Hispanic,50.0,0
Male,53,African-American,4.0,1
Male,0,African-American,19.224554455445546,0
Male,23,Hispanic,19.224554455445546,1
Male,37,African-American,0.0,1
Male,3,Caucasian,19.224554455445546,0
Male,22,Caucasian,0.0,0
Male,45,Hispanic,1.0,1
Male,52,Caucasian,2.0,1
Male,0,African-American,43.0,0
Male,20,Other,0.0,1
Female,2,African-American,24.0,0
Male,25,African-American,2.0,0
Male,39,African-American,0.0,1
Male,35,African-American,29.0,1
Male,24,Hispanic,19.224554455445546,1
Male,1,Hispanic,19.224554455445546,0
Female,30,African-American,19.224554455445546,0
Male,30,African-American,5.0,0
Male,0,Other,19.224554455445546,1
Male,0,Caucasian,19.224554455445546,1
Male,30,Caucasian,19.224554455445546,0
Male,1,African-American,19.224554455445546,1
Male,13,African-American,19.224554455445546,0
Male,7,Caucasian,72.0,1
Female,50,African-American,5.0,1
Male,36,Caucasian,0.0,1
Female,27,African-American,19.224554455445546,0
Male,4,African-American,31.0,1
Male,5,African-American,25.0,1
Male,4,African-American,19.224554455445546,0
Male,0,African-American,19.224554455445546,1
Female,4,African-American,26.0,1
Male,20,African-American,2.0,0
Female,23,African-American,19.224554455445546,0
Male,45,Other,1.0,1
Male,8,African-American,19.224554455445546,0
Male,52,African-American,19.224554455445546,1
Male,2,African-American,35.0,1
Male,26,African-American,1.0,0
Male,65,Caucasian,2.0,1
Male,3,Caucasian,31.0,0
Male,0,African-American,32.0,1
Male,24,African-American,19.224554455445546,0
Female,36,African-American,1.0,1
Female,4,African-American,58.0,1
