Sex,Age,Race,Prior,two_year_recid
Male,32,Caucasian,-3.777380588372737,0
Male,23,Other,2.0,1
Male,57000,African-American,7.668155080036215,0
Male,40,Caucasian,0.0,1
Male,26,African-American,8.0,0
Male,23000,Caucasian,0.6130101893437714,0
Male,27000,African-American,9.118945240332874,1
Male,33,Native American,9.0,0
Male,22000,African-American,-6.498441755379384,1
Male,48000,African-American,5.282914577651567,1
Female,54000,African-American,10.422554323384702,1
Male,33,Caucasian,-0.2655398362741912,1
Male,29000,African-American,4.924306686954548,0
Male,19000,African-American,3.4581691470161107,0
Female,25,Caucasian,0.0,1
Female,45000,Caucasian,0.0,1
Male,21000,African-American,2.0,0
Male,34,African-American,16.323381103153878,0
Male,33,Other,4.0,0
Male,35000,African-American,5.76277080954245,1
Male,36000,African-American,-2.509581785374615,0
Male,36000,African-American,-6.0159086879505566,1
Female,34,Caucasian,12.0,0
Male,32,Caucasian,0.0,1
Male,52,Caucasian,0.0,1
Male,25,Caucasian,-0.6547818382597344,1
Female,24000,Other,2.0,0
Male,46000,African-American,0.0,1
Male,44000,African-American,6.0,1
Male,23000,African-American,5.940052087417513,0
Male,29000,African-American,-7.7395501748585716,1
Male,28000,African-American,11.561052668574034,0
Male,25000,African-American,3.292885331474086,0
Male,30000,African-American,-3.902188642028653,1
Male,22,Caucasian,4.0,0
Male,46000,African-American,12.53257092210837,0
Male,28000,African-American,-13.089431602008474,0
Male,31000,Hispanic,0.0,1
Female,28,Caucasian,6.783529319352391,1
Female,38,Caucasian,2.0,0
Male,24000,African-American,0.6233232968911837,1
Female,20000,African-American,1.796644101615607,1
Female,52,Caucasian,0.0,1
Male,22000,African-American,4.527342610374342,0
Male,59,African-American,15.0,0
Male,21000,African-American,2.447304269612191,1
Male,52000,African-American,7.932373570050349,1
Male,21000,Hispanic,1.0,0
Female,37000,African-American,17.255914701186047,0
Male,26,Caucasian,-3.148018495158812,1
Male,24000,African-American,5.784763759808449,1
Male,31,African-American,5.481025308088013,1
Male,36000,African-American,17.40980960724254,0
Male,30000,African-American,4.150642344320368,0
Female,35,Caucasian,4.0,1
Male,27,Other,0.0,1
Male,32000,African-American,2.0,0
Male,32000,African-American,2.006813413340722,0
Female,27000,Hispanic,0.0,0
Male,36000,African-American,7.51475283182717,1
Male,28000,African-American,-9.06467549060952,0
Female,21000,African-American,1.7715659611745587,0
Male,26000,African-American,6.0,0
Male,62,Hispanic,0.0,1
Male,22000,African-American,13.759998844746569,0
Male,23,Other,0.0,1
Male,25000,African-American,1.0,1
Male,54,Caucasian,7.0,1
Male,31000,African-American,-2.873966540384762,0
Female,37000,African-American,9.166259952043779,1
Male,42000,African-American,1.3294161535885771,1
Male,51000,African-American,1.6973425586715742,1
Female,52000,African-American,2.0,0
Male,35,Caucasian,4.0,0
Male,21,Hispanic,1.0,0
Male,40,Hispanic,0.0,1
Male,31,Caucasian,5.0,0
Male,25,Hispanic,3.0,0
Male,22000,African-American,-2.2002951155304977,0
Female,37000,Caucasian,10.894467370423307,1
Male,40,Native American,-2.692633223265763,1
Male,46000,African-American,-5.313109072632718,1
Female,40,Caucasian,-2.00319732681411,1
Female,30000,African-American,4.0,0
Male,43,African-American,8.856101889675342,1
Male,60,Other,7.002419237482087,1
Male,35000,Caucasian,2.0,0
Male,26000,African-American,2.9800175030349223,0
Male,39000,African-American,0.5952490376876902,0
Female,59000,Caucasian,2.0,1
Male,59000,African-American,12.651167858971586,0
Male,59,Hispanic,0.0,1
Female,37000,African-American,-0.49560606204566443,1
Female,38000,African-American,-3.328355539480626,1
Male,21,Caucasian,0.0,0
Male,48,Caucasian,2.0,0
Male,28000,African-American,6.624523117259127,0
Male,28000,African-American,8.190421146281771,1
