Month,Credit_amount,Investment,Age,Sex,Status,Credit_history,Savings,Property,Housing,credit
under_40,average,above_3,above_45,Male,Exists,Delayed,No,Yes,Not-rented,1
above_40,average,under_3,under_25,Female,Exists,Duly_paid,Yes,Yes,Not-rented,0
under_40,average,under_3,above_45,Male,Not-exists,Delayed,Yes,Yes,Not-rented,1
above_40,average,under_3,above_45,Male,Exists,Duly_paid,Yes,Yes,Not-rented,1
under_40,average,above_3,above_45,Male,Exists,Delayed,Yes,No,Not-rented,0
under_40,average,under_3,above_45,Male,Not-exists,Duly_paid,No,No,Not-rented,1
under_40,average,above_3,above_45,Male,Not-exists,Duly_paid,Yes,Yes,Not-rented,1
under_40,average,under_3,above_45,Male,Exists,Duly_paid,Yes,Yes,Rented,1
under_40,average,under_3,above_45,Male,Not-exists,Duly_paid,Yes,Yes,Not-rented,1
under_40,average,above_3,above_45,Male,Exists,Delayed,Yes,Yes,Not-rented,0
under_40,average,above_3,above_45,Female,Exists,Duly_paid,Yes,Yes,Rented,0
above_40,average,above_3,under_25,Female,Exists,Duly_paid,Yes,Yes,Rented,0
under_40,average,under_3,under_25,Female,Exists,Duly_paid,Yes,Yes,Not-rented,1
under_40,average,above_3,above_45,Male,Exists,Delayed,Yes,Yes,Not-rented,0
under_40,average,under_3,above_45,Female,Exists,Duly_paid,Yes,Yes,Rented,1
under_40,average,above_3,above_45,Female,Exists,Duly_paid,Yes,Yes,Not-rented,0
under_40,average,above_3,above_45,Male,Not-exists,Delayed,No,Yes,Not-rented,1
under_40,average,under_3,above_45,Male,Exists,Duly_paid,No,Yes,Not-rented,1
under_40,high,above_3,above_45,Female,Exists,Duly_paid,Yes,No,Not-rented,0
under_40,average,above_3,above_45,Male,Not-exists,Duly_paid,Yes,Yes,Not-rented,1
under_40,average,above_3,above_45,Male,Not-exists,Delayed,Yes,Yes,Not-rented,1
under_40,average,under_3,above_45,Male,Exists,Duly_paid,Yes,Yes,Rented,1
under_40,average,under_3,above_45,Male,Exists,Delayed,Yes,Yes,Rented,1
under_40,average,above_3,above_45,Male,Exists,Delayed,Yes,Yes,Not-rented,1
