Sex,Age,Race,Prior,two_year_recid
Female,0,Caucasian,34,1
Male,58,Caucasian,3,0
Female,3,Caucasian,28,1
Male,53,African-American,0,0
Male,0,Caucasian,45,1
Male,15,African-American,29,1
Male,34,Caucasian,3,1
Male,29,African-American,0,1
Male,3,Caucasian,29,0
Male,41,African-American,8,1
Male,31,African-American,4,1
Male,13,African-American,39,0
Male,0,Asian,35,1
Male,27,African-American,1,1
Male,0,Hispanic,28,1
Male,4,Asian,24,0
Male,32,African-American,26,1
Male,7,Caucasian,51,1
Male,30,African-American,11,1
Male,2,Caucasian,31,0
Male,26,African-American,4,1
Female,31,African-American,3,1
Male,63,African-American,3,1
Male,0,Hispanic,24,1
Female,27,African-American,10,1
Male,25,African-American,0,1
Male,11,African-American,36,1
Male,0,Caucasian,67,1
Male,0,Hispanic,24,1
Female,4,Caucasian,37,1
Male,9,Caucasian,31,0
Female,2,Hispanic,24,0
Male,37,African-American,3,1
Male,3,Caucasian,45,0
Female,0,Hispanic,22,1
Male,55,Caucasian,3,1
Male,6,African-American,37,1
Female,31,Caucasian,2,1
Male,21,African-American,0,1
Male,38,Hispanic,3,1
Male,22,African-American,2,1
Male,0,Caucasian,46,0
Male,20,Caucasian,0,0
Male,28,African-American,11,1
Male,54,African-American,0,1
Male,1,Caucasian,27,0
Female,6,Caucasian,27,1
Female,2,Caucasian,30,0
Male,26,African-American,2,1
Male,0,Caucasian,30,1
Male,2,Caucasian,38,1
Male,1,Caucasian,21,1
Male,67,Caucasian,2,1
Male,35,African-American,16,1
Male,27,African-American,3,1
Male,24,African-American,0,1
Male,1,Caucasian,24,0
Male,0,Other,19,0
Male,30,African-American,7,1
Female,33,African-American,2,1
Male,0,Caucasian,20,1
Male,6,Caucasian,54,1
Male,31,African-American,6,1
Male,28,African-American,5,1
Male,3,Caucasian,25,1
Female,6,Caucasian,32,0
Male,22,African-American,0,1
Male,1,Caucasian,37,1
Male,25,African-American,3,1
Male,22,African-American,2,1
Female,25,African-American,1,1
Male,0,Caucasian,23,0
Female,27,African-American,0,1
Male,47,African-American,3,1
Male,29,African-American,2,1
Male,28,African-American,2,1
Male,0,Hispanic,29,1
Male,34,African-American,27,1
Male,3,African-American,22,0
Male,0,African-American,30,1
Male,2,Hispanic,39,0
Male,53,Hispanic,9,0
Male,23,African-American,3,1
Female,1,Other,26,1
Male,29,African-American,0,1
Male,10,Caucasian,33,1
Male,11,Caucasian,44,1
Male,38,African-American,2,1
Male,28,African-American,0,1
Male,43,African-American,0,1
Male,5,Caucasian,36,1
Female,0,Caucasian,27,1
Male,1,Hispanic,39,1
Male,35,African-American,0,1
Male,0,Caucasian,33,0
Male,0,Caucasian,25,0
Male,51,African-American,3,1
Male,10,Other,57,0
Female,0,Caucasian,23,1
Male,18,African-American,4,1
Male,0,Caucasian,20,0
Male,2,Caucasian,30,1
Male,22,African-American,0,1
Female,38,Caucasian,0,1
Male,42,Other,1,1
Male,0,African-American,31,1
Male,2,Caucasian,35,1
Male,24,African-American,8,1
Male,2,Caucasian,47,1
Male,54,African-American,3,1
Female,0,African-American,20,1
Male,14,African-American,33,1
Male,25,African-American,0,1
Male,27,Hispanic,0,1
Female,10,Caucasian,34,0
Female,23,African-American,1,1
Female,31,African-American,1,1
Female,56,Caucasian,10,0
Male,22,African-American,1,1
Male,0,Other,37,1
Male,6,African-American,24,1
Female,0,Caucasian,41,1
Male,24,African-American,1,1
Female,0,Other,37,1
Male,28,Hispanic,16,1
Male,34,Caucasian,11,1
Male,5,Caucasian,58,0
Male,0,Hispanic,40,1
Female,2,Caucasian,55,1
Female,0,African-American,30,1
Male,20,Hispanic,52,1
Male,24,African-American,14,1
Female,26,African-American,1,1
Female,11,African-American,66,1
Male,27,African-American,10,1
Male,7,Caucasian,52,1
Female,29,African-American,0,1
Female,0,Caucasian,57,1
Male,39,Caucasian,0,1
Male,37,African-American,1,1
Male,2,Hispanic,31,1
Male,0,Caucasian,23,1
Male,25,African-American,0,1
Male,51,African-American,21,1
Male,30,African-American,5,1
Female,27,African-American,3,1
Female,32,African-American,5,1
Male,23,Hispanic,6,0
Male,48,African-American,5,1
Male,26,African-American,2,1
Male,3,Caucasian,31,0
Male,27,African-American,2,1
Male,2,Caucasian,26,1
Male,24,African-American,0,1
Male,45,African-American,1,1
Male,17,Caucasian,39,0
Male,31,African-American,7,1
Male,1,African-American,20,1
Male,8,Caucasian,24,0
Male,46,African-American,2,1
Female,1,Caucasian,33,1
Male,0,Hispanic,22,1
Male,0,Other,21,0
Male,44,African-American,0,1
Male,5,Caucasian,46,1
Female,27,African-American,3,1
Female,21,African-American,4,1
Male,20,African-American,0,1
Male,27,African-American,5,1
Male,1,Hispanic,19,1
Male,25,Caucasian,7,0
Male,35,African-American,1,1
Male,4,African-American,30,1
Male,31,African-American,5,1
Male,26,African-American,0,1
Male,69,Caucasian,0,0
Male,5,Hispanic,37,1
Male,20,African-American,0,1
Male,0,Asian,46,1
Male,33,African-American,4,1
Male,2,Caucasian,39,0
Male,43,African-American,18,1
Male,10,African-American,38,1
Female,6,Asian,45,0
Female,26,African-American,0,1
Male,0,Caucasian,27,1
Male,0,African-American,23,1
Male,0,Caucasian,57,0
Male,27,African-American,1,1
Female,35,Hispanic,0,1
Male,3,Hispanic,37,0
Male,4,Caucasian,28,0
Male,43,African-American,8,0
Male,24,Caucasian,3,0
Female,29,Hispanic,1,1
Male,0,African-American,58,1
Male,38,African-American,2,1
Male,3,African-American,27,1
Female,27,African-American,12,1
Male,24,African-American,0,1
Male,23,African-American,52,1
Male,14,African-American,32,1
Male,33,African-American,1,1
Male,1,Caucasian,23,0
Male,32,African-American,1,1
Male,1,Caucasian,51,1
Male,1,Caucasian,43,0
Male,0,Caucasian,34,1
Male,28,African-American,1,1
Male,24,African-American,4,1
Male,27,African-American,11,1
Male,25,African-American,0,1
Male,1,Caucasian,33,0
Male,1,Caucasian,53,0
Male,51,Hispanic,0,0
Male,45,African-American,0,1
Male,14,Caucasian,33,1
Male,30,Hispanic,6,0
Male,27,African-American,2,1
Female,3,African-American,28,1
Male,0,African-American,23,1
Male,37,African-American,0,1
Male,1,Hispanic,42,0
Male,30,African-American,0,1
Male,8,African-American,28,1
Male,30,Caucasian,2,1
Male,42,African-American,7,1
Male,39,African-American,1,1
Male,3,Hispanic,28,0
Male,42,Caucasian,1,1
Female,30,African-American,0,1
Male,41,African-American,0,1
Female,0,Caucasian,51,1
Male,21,African-American,1,1
Male,21,African-American,1,1
Female,0,African-American,26,1
Male,4,Caucasian,40,0
Male,31,African-American,11,0
Female,0,Caucasian,29,1
Male,5,African-American,31,1
Male,23,Caucasian,0,1
Male,0,Caucasian,51,1
Male,71,African-American,8,1
Male,1,African-American,30,1
Male,6,Caucasian,69,1
Female,0,Caucasian,59,1
Male,4,Caucasian,36,0
Male,38,African-American,0,1
Male,20,African-American,0,1
Female,4,Caucasian,42,0
Male,26,African-American,3,1
Male,0,Caucasian,26,1
Male,1,Caucasian,61,0
Male,0,Hispanic,20,0
Male,41,African-American,8,1
Female,1,Caucasian,19,0
Male,3,Hispanic,28,1
Male,0,African-American,33,1
Male,0,Caucasian,55,1
Female,1,Caucasian,46,1
Male,1,Caucasian,24,0
Male,27,African-American,2,1
Male,1,Caucasian,20,0
Male,1,Caucasian,25,1
Male,1,Caucasian,21,0
Female,41,African-American,0,1
Male,0,Asian,48,1
Male,30,African-American,1,1
Male,0,Caucasian,57,0
Male,2,Asian,26,0
Female,22,Caucasian,43,0
Male,50,Caucasian,0,1
Male,0,Other,33,0
Male,2,Caucasian,46,1
Male,13,Caucasian,27,0
Male,0,Caucasian,66,1
Male,23,African-American,0,1
Male,26,African-American,5,1
Male,36,African-American,19,1
Male,0,Caucasian,26,1
Female,0,Other,21,1
Male,6,Caucasian,52,1
Male,22,African-American,5,1
Male,36,African-American,9,1
Male,3,Caucasian,28,0
Male,1,Hispanic,28,1
Male,42,Caucasian,8,1
Male,27,African-American,0,1
Female,49,African-American,1,1
Male,35,African-American,0,1
Female,1,Caucasian,33,1
Male,0,Hispanic,46,1
Male,4,Caucasian,28,1
Female,39,African-American,1,1
Female,27,African-American,10,1
Male,3,Caucasian,30,1
