age,workclass,edu_level,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,income
25,Private,7,Never-married,Machine-op-inspct,Own-child,Black,Male,40,United-States,0
38,Private,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,0
28,Local-gov,12,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,1
44,Private,10,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,United-States,1
34,Private,6,Never-married,Other-service,Not-in-family,White,Male,30,United-States,0
63,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,32,United-States,1
24,Private,10,Never-married,Other-service,Unmarried,White,Female,40,United-States,0
55,Private,4,Married-civ-spouse,Craft-repair,Husband,White,Male,10,United-States,0
65,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,1
36,Federal-gov,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,0
26,Private,9,Never-married,Adm-clerical,Not-in-family,White,Female,39,United-States,0
48,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,48,United-States,1
43,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1
20,State-gov,10,Never-married,Other-service,Own-child,White,Male,25,United-States,0
43,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,30,United-States,0
37,Private,9,Widowed,Machine-op-inspct,Unmarried,White,Female,20,United-States,0
34,Private,13,Married-civ-spouse,Tech-support,Husband,White,Male,47,United-States,1
34,Private,10,Never-married,Other-service,Own-child,Black,Female,35,United-States,0
25,Private,13,Never-married,Prof-specialty,Not-in-family,White,Male,43,Peru,0
25,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,0
45,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,90,United-States,1
22,Private,9,Never-married,Adm-clerical,Own-child,White,Male,20,United-States,0
23,Private,9,Separated,Machine-op-inspct,Unmarried,Black,Male,54,United-States,0
54,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,35,United-States,0
32,Self-emp-not-inc,10,Never-married,Prof-specialty,Not-in-family,White,Male,60,United-States,0
46,State-gov,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,38,United-States,1
56,Self-emp-not-inc,7,Widowed,Other-service,Unmarried,White,Female,50,United-States,0
24,Self-emp-not-inc,13,Never-married,Sales,Not-in-family,White,Male,50,United-States,0
23,Local-gov,10,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,0
26,Private,9,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,0
36,Local-gov,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,1
22,Private,3,Never-married,Priv-house-serv,Not-in-family,White,Male,50,Guatemala,0
17,Private,6,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,0
20,Private,9,Never-married,Craft-repair,Own-child,White,Male,40,United-States,0
65,Private,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,1
44,Self-emp-inc,11,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,1
36,Private,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,0
29,Private,7,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,0
20,State-gov,10,Never-married,Farming-fishing,Own-child,White,Male,32,United-States,0
28,Private,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,36,United-States,1
39,Private,4,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Mexico,0
54,Private,10,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,0
52,Private,7,Separated,Priv-house-serv,Not-in-family,Black,Female,18,United-States,0
56,Self-emp-inc,9,Widowed,Exec-managerial,Not-in-family,White,Female,50,United-States,0
18,Private,10,Never-married,Other-service,Own-child,White,Male,20,United-States,0
39,Private,9,Divorced,Handlers-cleaners,Own-child,Black,Male,40,United-States,0
21,Private,10,Never-married,Other-service,Own-child,White,Female,24,United-States,0
22,Private,9,Never-married,Other-service,Not-in-family,White,Male,60,United-States,1
38,Private,5,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,54,Mexico,0
21,Private,10,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,0
63,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,0
34,Local-gov,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1
42,Self-emp-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,1
33,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,0
30,Private,13,Never-married,Exec-managerial,Not-in-family,White,Female,50,United-States,0
39,Private,10,Divorced,Sales,Not-in-family,White,Male,40,United-States,0
26,Private,14,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,0
33,Private,9,Never-married,Machine-op-inspct,Own-child,White,Female,40,United-States,0
47,Local-gov,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,0
41,Self-emp-inc,12,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,1
19,Private,10,Never-married,Other-service,Own-child,White,Male,20,United-States,0
46,Private,9,Separated,Transport-moving,Not-in-family,White,Male,40,United-States,0
43,Private,9,Married-civ-spouse,Sales,Husband,White,Male,48,United-States,0
55,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,1
46,Private,11,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,0
30,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Mexico,0
21,Private,10,Separated,Handlers-cleaners,Not-in-family,White,Female,40,United-States,0
46,Private,10,Married-civ-spouse,Craft-repair,Husband,Other,Male,40,Dominican-Republic,0
41,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,50,United-States,0
69,Self-emp-inc,9,Married-civ-spouse,Sales,Husband,White,Male,30,United-States,0
50,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,0
20,Private,10,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,0
45,Self-emp-inc,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,50,United-States,0
23,Private,13,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,0
24,Private,10,Separated,Other-service,Not-in-family,White,Male,40,United-States,0
31,Self-emp-not-inc,10,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,0
43,Private,9,Separated,Machine-op-inspct,Not-in-family,White,Female,44,United-States,0
20,Federal-gov,7,Never-married,Other-service,Own-child,White,Female,10,United-States,0
55,Private,9,Married-civ-spouse,Sales,Husband,White,Male,56,United-States,1
24,Federal-gov,10,Never-married,Armed-Forces,Not-in-family,White,Male,40,United-States,0
59,Private,13,Never-married,Exec-managerial,Not-in-family,White,Female,25,United-States,0
