age,workclass,edu_level,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,income
25,Private,7,Never-married,Machine-op-inspct,Own-child,Black,FALSE,40,United-States,0
38,Private,9,Married-civ-spouse,Farming-fishing,Husband,White,FALSE,50,United-States,0
28,Local-gov,12,Married-civ-spouse,Protective-serv,Husband,White,FALSE,40,United-States,1
44,Private,10,Married-civ-spouse,Machine-op-inspct,Husband,Black,FALSE,40,United-States,1
34,Private,6,Never-married,Other-service,Not-in-family,White,FALSE,30,United-States,0
63,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,FALSE,32,United-States,1
24,Private,10,Never-married,Other-service,Unmarried,White,TRUE,40,United-States,0
55,Private,4,Married-civ-spouse,Craft-repair,Husband,White,FALSE,10,United-States,0
65,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,FALSE,40,United-States,1
36,Federal-gov,13,Married-civ-spouse,Adm-clerical,Husband,White,FALSE,40,United-States,0
26,Private,9,Never-married,Adm-clerical,Not-in-family,White,TRUE,39,United-States,0
48,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,FALSE,48,United-States,1
43,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,FALSE,50,United-States,1
20,State-gov,10,Never-married,Other-service,Own-child,White,FALSE,25,United-States,0
43,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,TRUE,30,United-States,0
37,Private,9,Widowed,Machine-op-inspct,Unmarried,White,TRUE,20,United-States,0
34,Private,13,Married-civ-spouse,Tech-support,Husband,White,FALSE,47,United-States,1
34,Private,10,Never-married,Other-service,Own-child,Black,TRUE,35,United-States,0
25,Private,13,Never-married,Prof-specialty,Not-in-family,White,FALSE,43,Peru,0
25,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,FALSE,40,United-States,0
45,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,FALSE,90,United-States,1
22,Private,9,Never-married,Adm-clerical,Own-child,White,FALSE,20,United-States,0
