Sex,Age,Race,Prior,two_year_recid
Male,69,FALSE,0,1
Male,34,TRUE,0,0
Male,24,TRUE,4,0
Male,23,TRUE,1,1
Male,43,FALSE,2,1
Male,44,FALSE,0,1
Male,41,FALSE,14,0
Male,43,FALSE,3,1
Female,39,FALSE,0,1
Male,21,FALSE,1,0
Male,27,FALSE,0,1
Male,23,TRUE,3,0
Female,37,FALSE,0,1
Male,41,TRUE,0,1
Female,47,FALSE,1,0
Male,31,TRUE,7,0
Male,37,FALSE,0,1
Male,25,TRUE,3,1
Male,31,FALSE,6,0
Male,31,FALSE,5,0
Male,64,TRUE,13,0
Male,21,TRUE,1,0
Male,27,FALSE,0,0
Female,21,FALSE,0,1
Male,24,FALSE,1,0
Male,43,FALSE,1,1
Male,32,FALSE,0,1
Male,27,TRUE,8,0
Female,36,FALSE,3,1
Male,26,TRUE,5,0
Male,33,TRUE,0,0
Male,30,FALSE,9,0
Male,32,TRUE,4,0
Male,55,FALSE,0,1
Male,49,FALSE,7,0
Male,26,FALSE,6,1
Female,33,FALSE,4,0
Male,24,FALSE,1,0
Male,34,TRUE,21,0
Male,29,FALSE,0,1
Female,21,TRUE,2,1
Male,51,TRUE,2,1
Male,29,FALSE,2,0
Female,51,TRUE,7,1
Male,29,TRUE,0,0
Male,25,FALSE,9,0
Male,35,TRUE,13,0
Male,49,FALSE,0,1
Male,34,TRUE,4,0
Male,29,TRUE,0,1
Male,29,FALSE,1,0
Female,28,FALSE,0,1
Male,48,FALSE,20,0
Female,63,FALSE,1,1
Male,31,TRUE,15,1
Male,24,TRUE,2,0
Male,30,FALSE,0,1
Male,49,TRUE,4,1
Male,53,FALSE,8,1
Male,35,TRUE,5,1
Male,63,TRUE,10,0
Male,27,TRUE,15,0
Male,38,FALSE,4,0
Male,22,TRUE,1,0
Male,22,TRUE,2,0
Male,29,TRUE,4,0
Male,62,FALSE,0,1
Male,27,TRUE,6,0
Male,33,FALSE,0,1
Female,56,TRUE,0,1
Male,45,FALSE,6,0
Male,22,FALSE,1,1
Male,39,TRUE,1,1
Male,29,TRUE,5,0
Male,27,FALSE,1,0
Male,40,TRUE,2,1
Male,22,TRUE,1,0
Male,22,FALSE,0,1
Female,26,TRUE,1,0
Male,27,FALSE,1,0
Male,32,TRUE,0,1
Male,41,TRUE,1,1
Male,30,TRUE,8,0
Male,50,FALSE,0,0
Male,25,TRUE,14,0
Male,20,FALSE,0,0
Male,22,TRUE,2,0
Male,23,TRUE,2,0
Female,35,TRUE,1,1
Male,36,TRUE,9,0
Male,26,FALSE,7,0
Male,21,FALSE,1,0
Male,25,FALSE,9,0
Male,71,TRUE,12,1
Female,20,FALSE,0,1
Male,39,FALSE,2,0
Male,66,FALSE,3,1
Female,54,FALSE,0,1
Female,44,FALSE,0,1
Male,19,TRUE,1,0
Male,24,TRUE,1,1
Male,30,TRUE,1,1
Female,39,FALSE,0,0
Male,24,FALSE,8,0
Male,30,FALSE,0,1
Male,31,FALSE,0,1
Female,39,FALSE,1,1
Male,59,TRUE,14,0
Male,43,FALSE,1,1
Male,21,TRUE,3,0
Male,38,FALSE,5,0
Male,34,FALSE,0,1
Male,33,TRUE,5,0
Male,37,TRUE,3,1
Male,42,FALSE,1,0
Male,41,TRUE,10,0
Male,22,TRUE,0,0
Male,33,TRUE,28,0
Male,31,TRUE,1,1
Female,30,FALSE,1,1
Male,31,FALSE,13,0
Male,27,TRUE,3,0
Male,56,TRUE,8,1
Male,52,FALSE,3,1
Male,33,TRUE,19,0
Female,64,FALSE,2,1
Male,22,FALSE,4,0
Male,42,FALSE,6,1
Female,25,FALSE,2,1
Male,30,FALSE,1,1
Male,28,FALSE,2,1
Female,37,FALSE,2,1
Male,28,FALSE,0,0
Female,24,TRUE,0,1
Female,29,FALSE,10,0
Male,44,FALSE,2,0
Female,30,FALSE,4,0
Male,32,TRUE,3,0
Male,31,FALSE,2,0
Male,31,TRUE,1,1
Male,59,FALSE,1,0
Female,45,FALSE,4,1
Female,20,TRUE,1,1
Female,43,FALSE,0,1
Male,38,TRUE,9,0
Male,32,TRUE,11,0
Male,33,TRUE,8,0
Female,31,TRUE,0,0
Female,33,TRUE,7,0
Male,27,TRUE,2,0
Female,20,TRUE,0,1
Female,26,FALSE,0,1
Female,61,TRUE,1,0
Male,52,FALSE,13,0
Male,63,FALSE,1,1
Female,32,TRUE,4,0
Male,29,FALSE,1,1
Female,46,FALSE,1,1
Female,26,TRUE,2,0
Male,55,TRUE,3,1
Male,39,FALSE,1,1
Female,30,FALSE,3,0
Male,30,TRUE,1,1
Male,48,FALSE,2,1
Male,22,TRUE,1,1
Male,46,FALSE,6,0
Female,49,FALSE,6,1
Male,31,FALSE,0,1
Male,25,TRUE,1,0
Male,23,FALSE,0,1
Female,32,TRUE,5,1
Male,52,FALSE,2,1
Male,62,TRUE,8,1
Female,37,FALSE,6,1
Male,55,FALSE,1,1
Male,31,FALSE,8,0
Male,28,TRUE,6,0
Male,54,FALSE,2,1
Male,58,FALSE,0,1
Male,78,FALSE,1,0
Male,56,FALSE,0,1
Male,24,FALSE,0,1
Male,38,TRUE,22,0
Male,22,TRUE,1,0
Male,47,TRUE,23,0
Male,23,TRUE,0,0
Male,57,FALSE,1,1
Female,38,FALSE,2,0
