LIMIT_BAL,LIMIT_BAL_CAT,EDUCATION,MARRIAGE,AGE,AGE_CAT,SEX,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,AVG_PAYMENT,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default
470000,high,university,single,27,young,male,2,2,2,2,0,0,1,296573,303320,307843,479978,305145,309959,13000,11001,0,10484,10838,10367,1
300000,high,university,married,39,senior,female,-1,-1,-1,-1,-1,-1,-1,6192,4784,6462,456,-2056,5251,4790,6462,456,0,14447,9196,0
90000,moderate,highschool,married,41,senior,female,0,0,0,0,0,0,0,87240,88519,84573,78617,64344,63417,10000,3519,5014,2679,4600,1000,1
100000,moderate,highschool,single,41,senior,female,-1,-1,-1,-1,0,-1,-1,7432,1633,2043,4830,3535,4307,1633,2043,4830,0,4307,0,0
300000,high,graduateschool,single,31,midage,male,-1,-1,-1,-1,0,-1,-1,2166,2894,8903,12445,24650,8339,2918,8974,12457,15113,8369,3832,1
140000,moderate,university,married,40,senior,female,-1,-1,-1,-1,-1,0,-1,815,8397,390,390,780,390,8419,390,390,780,0,390,0
110000,moderate,graduateschool,single,29,young,female,-1,-1,-1,-1,-1,-1,-1,316,31895,316,316,316,31775,31895,316,316,316,31775,1152,0
40000,low,university,single,44,senior,female,2,2,2,2,2,2,2,35515,36176,37490,38726,39795,40230,1550,2200,2170,2001,1601,1602,0
170000,moderate,university,single,29,young,male,1,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
300000,high,graduateschool,single,26,young,male,2,2,2,0,0,2,1,273138,279307,273333,277270,284915,286837,12000,0,10000,12180,10000,10817,0
180000,moderate,university,single,48,senior,female,1,-1,-1,-1,-1,-1,-1,2551,3044,3044,5283,1660,6671,3044,3044,5283,1660,6671,493,1
